sample_id,gesture_type,sim_distance,sim_brightness,jitter_error,confidence_score,is_recognized
0,Good,163.3777376348419,160.6245896288779,2.8931331837335548,0.3425218952268133,0.0
1,One,128.2007021137776,255.0,0.580878134023515,0.4056774811420436,0.0
2,Fist,21.271934939549134,129.33330959671898,2.536001526564488,0.7643345377365895,1.0
3,Fist,161.33167305074244,120.95146989371901,0.4225108156342871,0.20751676663043422,0.0
4,Three,142.45535694580036,110.3960512184803,0.19904543035625546,0.5446728756919262,1.0
5,Four,143.16194477218824,167.8792605649911,4.511684844542038,0.5621864549652487,0.0
6,Fist,90.39090936318334,161.96676960686244,3.2745546327344743,0.5528864757992317,0.0
7,Four,159.52390820500062,106.8130008795759,5.0298840874559,0.49356667223568923,0.0
8,Five,193.01096438288283,156.3915949676014,3.208278187583278,0.41138103554222427,0.0
9,One,45.36636049545727,192.25911122104213,2.0143934425086045,0.8095799844071138,1.0
10,One,186.73415813240283,167.73707081714375,1.0662604448717499,0.12450407082981145,0.0
11,Fist,78.53299796481447,197.88611873027145,2.63238869881815,0.6952090813641086,1.0
12,One,194.90817717003867,156.0676851957891,3.592055218544816,,
13,Good,96.95738330453894,77.36621837936445,0.6934196137336955,0.7170765700308742,1.0
14,Fist,45.079661793057625,180.36230587943106,8.981864151607645,0.8088334759621507,1.0
15,Fist,134.01267617187622,177.42398461850848,1.0393169589318434,0.4277668437503987,0.0
16,Three,78.38210378094931,108.34248900331984,5.816885352900977,0.8089902396994755,0.0
17,One,174.93150498614182,155.6573369252176,0.02503441352008835,0.21617089223378877,0.0
18,Three,68.49422008373386,88.03636278617427,3.877859191005672,0.851343060736908,1.0
19,Four,193.24051308958002,40.488984740794535,0.17460382057701254,0.10400669610894328,0.0
20,Five,68.0205825695513,124.13731695194198,2.1148962547895684,0.953252628065334,1.0
21,One,108.10149684996134,113.51719210134725,7.483598529347425,0.6510067859364859,1.0
22,666,104.65411420028691,125.27584068278982,1.3205419977873505,0.6564684972812285,1.0
23,666,27.339525479857507,160.60932147454616,8.02376572044751,,
24,Three,165.71018830514876,84.78212042847122,2.0717986238527417,0.3707798675676101,0.0
25,Three,81.39194318904653,165.0202265429078,1.6155621473590425,0.827980358579962,1.0
26,Five,112.99446042878257,131.76947598399096,2.925595696567127,0.7871006166857701,1.0
27,666,181.47984679146387,138.8373784244132,1.391587210428941,0.20700571426907266,0.0
28,666,161.36131720050983,179.23986718969408,7.102480452410733,0.3270387517103543,0.0
29,Fist,118.7720820859855,118.12997395028573,43.52372541956314,0.5827752259409241,0.0
